rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
199,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,9,9,9
198,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,4,4,4
197,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
196,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,4,4,4
195,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,7,-1,7
194,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,6,6,6
193,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
192,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,3,3,3
191,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,8,8,8
190,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,2,2,2
189,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
188,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,7,7,7
187,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,4,4,4
186,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,5,-1,5
185,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,9,9,9
184,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
183,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
182,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
181,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,11,11,11
180,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,6,4,6
179,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
178,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,3,3,3
177,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
176,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
175,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,17,22,17
174,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,9,9,9
173,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
172,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,9,9,9
171,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,4,4,4
170,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,2,2,2
169,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,6,6,6
168,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,16,-1,16
167,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,3,3,3
166,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,8,8,8
165,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,3,3,3
164,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
163,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,5,5,5
162,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
161,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,6,6,6
160,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,9,9,9
159,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,7,10,7
158,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,8,8,8
157,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,3,3,3
156,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,-1,-1,-1
155,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,6,6,6
154,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,12,-1,12
153,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,10,-1,10
152,93,103,graphml/Oteglobe.graphml,3,23,46,random,-1,-1,-1,-1
151,93,103,graphml/Oteglobe.graphml,1,23,0,random,-1,6,6,6
150,93,103,graphml/Oteglobe.graphml,2,23,23,random,-1,3,4,3
