rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,25,56,graphml/AttMpls.graphml,4,,33,clustered,0.9;-0.3,-1,-1,-1
199,25,56,graphml/AttMpls.graphml,3,,40,clustered,0.9;-0.3,-1,-1,-1
198,25,56,graphml/AttMpls.graphml,2,,20,clustered,0.9;-0.3,-1,-1,-1
197,25,56,graphml/AttMpls.graphml,4,,32,clustered,0.9;-0.3,-1,-1,-1
196,25,56,graphml/AttMpls.graphml,2,,13,clustered,0.9;-0.3,-1,-1,-1
195,25,56,graphml/AttMpls.graphml,2,,18,clustered,0.9;-0.3,-1,-1,-1
194,25,56,graphml/AttMpls.graphml,5,,43,clustered,0.9;-0.3,-1,-1,-1
193,25,56,graphml/AttMpls.graphml,3,,49,clustered,0.9;-0.3,-1,-1,-1
192,25,56,graphml/AttMpls.graphml,2,,13,clustered,0.9;-0.3,-1,-1,-1
191,25,56,graphml/AttMpls.graphml,4,,49,clustered,0.9;-0.3,-1,-1,-1
190,25,56,graphml/AttMpls.graphml,2,,60,clustered,0.9;-0.3,-1,-1,-1
189,25,56,graphml/AttMpls.graphml,3,,33,clustered,0.9;-0.3,-1,-1,-1
188,25,56,graphml/AttMpls.graphml,2,,18,clustered,0.9;-0.3,-1,-1,-1
187,25,56,graphml/AttMpls.graphml,2,,26,clustered,0.9;-0.3,-1,-1,-1
186,25,56,graphml/AttMpls.graphml,5,,46,clustered,0.9;-0.3,-1,-1,-1
185,25,56,graphml/AttMpls.graphml,2,,21,clustered,0.9;-0.3,-1,-1,-1
184,25,56,graphml/AttMpls.graphml,4,,50,clustered,0.9;-0.3,-1,-1,-1
183,25,56,graphml/AttMpls.graphml,2,,38,clustered,0.9;-0.3,-1,-1,-1
182,25,56,graphml/AttMpls.graphml,2,,24,clustered,0.9;-0.3,8,6,8
181,25,56,graphml/AttMpls.graphml,3,,53,clustered,0.9;-0.3,-1,-1,-1
180,25,56,graphml/AttMpls.graphml,4,,53,clustered,0.9;-0.3,-1,-1,-1
179,25,56,graphml/AttMpls.graphml,2,,52,clustered,0.9;-0.3,-1,-1,-1
178,25,56,graphml/AttMpls.graphml,4,,41,clustered,0.9;-0.3,-1,-1,-1
177,25,56,graphml/AttMpls.graphml,4,,51,clustered,0.9;-0.3,-1,-1,-1
176,25,56,graphml/AttMpls.graphml,4,,45,clustered,0.9;-0.3,-1,-1,-1
175,25,56,graphml/AttMpls.graphml,3,,28,clustered,0.9;-0.3,-1,-1,-1
174,25,56,graphml/AttMpls.graphml,2,,40,clustered,0.9;-0.3,-1,-1,-1
173,25,56,graphml/AttMpls.graphml,2,,20,clustered,0.9;-0.3,-1,-1,-1
172,25,56,graphml/AttMpls.graphml,2,,27,clustered,0.9;-0.3,-1,-1,-1
171,25,56,graphml/AttMpls.graphml,2,,22,clustered,0.9;-0.3,-1,-1,-1
170,25,56,graphml/AttMpls.graphml,3,,29,clustered,0.9;-0.3,-1,-1,-1
169,25,56,graphml/AttMpls.graphml,7,,56,clustered,0.9;-0.3,-1,-1,-1
168,25,56,graphml/AttMpls.graphml,2,,23,clustered,0.9;-0.3,-1,-1,-1
167,25,56,graphml/AttMpls.graphml,3,,46,clustered,0.9;-0.3,-1,-1,-1
166,25,56,graphml/AttMpls.graphml,4,,42,clustered,0.9;-0.3,-1,-1,-1
165,25,56,graphml/AttMpls.graphml,4,,47,clustered,0.9;-0.3,-1,-1,-1
164,25,56,graphml/AttMpls.graphml,2,,17,clustered,0.9;-0.3,-1,-1,-1
163,25,56,graphml/AttMpls.graphml,5,,35,clustered,0.9;-0.3,-1,-1,-1
162,25,56,graphml/AttMpls.graphml,2,,19,clustered,0.9;-0.3,-1,-1,-1
161,25,56,graphml/AttMpls.graphml,2,,19,clustered,0.9;-0.3,-1,-1,-1
160,25,56,graphml/AttMpls.graphml,2,,24,clustered,0.9;-0.3,-1,-1,-1
159,25,56,graphml/AttMpls.graphml,2,,29,clustered,0.9;-0.3,-1,-1,-1
158,25,56,graphml/AttMpls.graphml,2,,16,clustered,0.9;-0.3,-1,-1,-1
157,25,56,graphml/AttMpls.graphml,3,,42,clustered,0.9;-0.3,-1,-1,-1
156,25,56,graphml/AttMpls.graphml,5,,36,clustered,0.9;-0.3,-1,-1,-1
155,25,56,graphml/AttMpls.graphml,5,,39,clustered,0.9;-0.3,-1,-1,-1
154,25,56,graphml/AttMpls.graphml,2,,28,clustered,0.9;-0.3,-1,-1,-1
153,25,56,graphml/AttMpls.graphml,5,,44,clustered,0.9;-0.3,-1,-1,-1
152,25,56,graphml/AttMpls.graphml,2,,27,clustered,0.9;-0.3,-1,-1,-1
151,25,56,graphml/AttMpls.graphml,3,,34,clustered,0.9;-0.3,-1,-1,-1
150,25,56,graphml/AttMpls.graphml,2,,42,clustered,0.9;-0.3,-1,-1,-1
149,25,56,graphml/AttMpls.graphml,3,,46,clustered,0.9;-0.3,-1,-1,-1
148,25,56,graphml/AttMpls.graphml,2,,20,clustered,0.9;-0.3,-1,-1,-1
147,25,56,graphml/AttMpls.graphml,2,,24,clustered,0.9;-0.3,-1,-1,-1
146,25,56,graphml/AttMpls.graphml,3,,42,clustered,0.9;-0.3,-1,-1,-1
145,25,56,graphml/AttMpls.graphml,2,,21,clustered,0.9;-0.3,-1,-1,-1
144,25,56,graphml/AttMpls.graphml,3,,30,clustered,0.9;-0.3,-1,-1,-1
143,25,56,graphml/AttMpls.graphml,2,,17,clustered,0.9;-0.3,-1,-1,-1
142,25,56,graphml/AttMpls.graphml,4,,46,clustered,0.9;-0.3,-1,-1,-1
141,25,56,graphml/AttMpls.graphml,2,,59,clustered,0.9;-0.3,-1,-1,-1
140,25,56,graphml/AttMpls.graphml,2,,30,clustered,0.9;-0.3,-1,-1,-1
139,25,56,graphml/AttMpls.graphml,3,,25,clustered,0.9;-0.3,-1,-1,-1
138,25,56,graphml/AttMpls.graphml,5,,55,clustered,0.9;-0.3,-1,-1,-1
137,25,56,graphml/AttMpls.graphml,3,,29,clustered,0.9;-0.3,-1,-1,-1
136,25,56,graphml/AttMpls.graphml,3,,59,clustered,0.9;-0.3,-1,-1,-1
135,25,56,graphml/AttMpls.graphml,4,,41,clustered,0.9;-0.3,4,4,4
134,25,56,graphml/AttMpls.graphml,5,,47,clustered,0.9;-0.3,-1,-1,-1
133,25,56,graphml/AttMpls.graphml,4,,30,clustered,0.9;-0.3,-1,-1,-1
132,25,56,graphml/AttMpls.graphml,2,,29,clustered,0.9;-0.3,-1,-1,-1
131,25,56,graphml/AttMpls.graphml,3,,31,clustered,0.9;-0.3,-1,-1,-1
130,25,56,graphml/AttMpls.graphml,3,,19,clustered,0.9;-0.3,3,3,3
129,25,56,graphml/AttMpls.graphml,3,,18,clustered,0.9;-0.3,-1,-1,-1
128,25,56,graphml/AttMpls.graphml,5,,45,clustered,0.9;-0.3,-1,-1,-1
127,25,56,graphml/AttMpls.graphml,3,,20,clustered,0.9;-0.3,-1,-1,-1
126,25,56,graphml/AttMpls.graphml,5,,53,clustered,0.9;-0.3,-1,-1,-1
125,25,56,graphml/AttMpls.graphml,2,,52,clustered,0.9;-0.3,-1,-1,-1
124,25,56,graphml/AttMpls.graphml,4,,42,clustered,0.9;-0.3,-1,-1,-1
123,25,56,graphml/AttMpls.graphml,3,,27,clustered,0.9;-0.3,-1,-1,-1
122,25,56,graphml/AttMpls.graphml,5,,45,clustered,0.9;-0.3,-1,-1,-1
121,25,56,graphml/AttMpls.graphml,4,,30,clustered,0.9;-0.3,-1,-1,-1
120,25,56,graphml/AttMpls.graphml,4,,41,clustered,0.9;-0.3,-1,-1,-1
119,25,56,graphml/AttMpls.graphml,2,,18,clustered,0.9;-0.3,-1,-1,-1
118,25,56,graphml/AttMpls.graphml,3,,18,clustered,0.9;-0.3,-1,-1,-1
117,25,56,graphml/AttMpls.graphml,3,,52,clustered,0.9;-0.3,-1,-1,-1
116,25,56,graphml/AttMpls.graphml,3,,56,clustered,0.9;-0.3,-1,-1,-1
115,25,56,graphml/AttMpls.graphml,4,,49,clustered,0.9;-0.3,-1,-1,-1
114,25,56,graphml/AttMpls.graphml,3,,18,clustered,0.9;-0.3,-1,-1,-1
113,25,56,graphml/AttMpls.graphml,3,,34,clustered,0.9;-0.3,-1,-1,-1
112,25,56,graphml/AttMpls.graphml,4,,46,clustered,0.9;-0.3,-1,-1,-1
111,25,56,graphml/AttMpls.graphml,2,,27,clustered,0.9;-0.3,-1,-1,-1
110,25,56,graphml/AttMpls.graphml,4,,26,clustered,0.9;-0.3,-1,-1,-1
109,25,56,graphml/AttMpls.graphml,2,,18,clustered,0.9;-0.3,-1,-1,-1
108,25,56,graphml/AttMpls.graphml,3,,21,clustered,0.9;-0.3,-1,-1,-1
107,25,56,graphml/AttMpls.graphml,4,,33,clustered,0.9;-0.3,-1,-1,-1
106,25,56,graphml/AttMpls.graphml,3,,27,clustered,0.9;-0.3,-1,-1,-1
105,25,56,graphml/AttMpls.graphml,3,,38,clustered,0.9;-0.3,-1,-1,-1
104,25,56,graphml/AttMpls.graphml,4,,37,clustered,0.9;-0.3,-1,-1,-1
103,25,56,graphml/AttMpls.graphml,5,,35,clustered,0.9;-0.3,-1,-1,-1
102,25,56,graphml/AttMpls.graphml,3,,27,clustered,0.9;-0.3,-1,-1,-1
101,25,56,graphml/AttMpls.graphml,2,,22,clustered,0.9;-0.3,-1,-1,-1
100,25,56,graphml/AttMpls.graphml,3,,28,clustered,0.9;-0.3,-1,-1,-1
99,25,56,graphml/AttMpls.graphml,5,,46,clustered,0.9;-0.3,-1,-1,-1
98,25,56,graphml/AttMpls.graphml,3,,48,clustered,0.9;-0.3,-1,-1,-1
97,25,56,graphml/AttMpls.graphml,2,,15,clustered,0.9;-0.3,-1,-1,-1
96,25,56,graphml/AttMpls.graphml,5,,47,clustered,0.9;-0.3,-1,-1,-1
95,25,56,graphml/AttMpls.graphml,5,,47,clustered,0.9;-0.3,-1,-1,-1
94,25,56,graphml/AttMpls.graphml,2,,28,clustered,0.9;-0.3,-1,-1,-1
93,25,56,graphml/AttMpls.graphml,2,,17,clustered,0.9;-0.3,-1,-1,-1
92,25,56,graphml/AttMpls.graphml,5,,44,clustered,0.9;-0.3,-1,-1,-1
91,25,56,graphml/AttMpls.graphml,2,,19,clustered,0.9;-0.3,3,3,3
