rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,10,10,10
199,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.4;-0.3,10,24,10
198,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.4;-0.3,5,5,5
197,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.4;-0.3,4,4,4
196,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.4;-0.3,9,9,9
195,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,9,9,9
194,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.4;-0.3,6,6,6
193,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,13,13,13
192,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.4;-0.3,5,5,5
191,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,3,3,3
190,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.4;-0.3,9,10,9
189,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.4;-0.3,9,9,9
188,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,5,5,5
187,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,8,8,8
186,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,11,11,11
185,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,3,3,3
184,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,2,2,2
183,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.4;-0.3,9,9,9
182,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,3,3,3
181,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.4;-0.3,9,20,9
180,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,6,6,6
179,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,4,4,4
178,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.4;-0.3,5,21,5
177,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,10,10,10
176,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,5,5,5
175,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.4;-0.3,4,4,4
174,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.4;-0.3,11,35,11
173,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,5,5,5
172,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,9,10,9
171,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,3,3,3
170,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,4,7,4
169,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,9,9,9
168,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,12,12,12
167,93,103,graphml/Oteglobe.graphml,3,,3,clustered,0.4;-0.3,5,5,5
166,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,8,8,8
165,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,12,12,12
164,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,6,6,6
163,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,7,7,7
162,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,6,6,6
161,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,6,6,6
160,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.4;-0.3,6,6,6
159,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.4;-0.3,6,6,6
158,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.4;-0.3,9,9,9
157,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,7,7,7
156,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,6,7,6
155,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,5,5,5
154,93,103,graphml/Oteglobe.graphml,4,,4,clustered,0.4;-0.3,8,8,8
153,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,7,7,7
152,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,4,4,4
151,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.4;-0.3,11,11,11
150,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.4;-0.3,10,10,10
149,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,6,8,6
148,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.4;-0.3,3,3,3
147,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.4;-0.3,5,5,5
146,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.4;-0.3,8,8,8
145,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,7,7,7
144,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.4;-0.3,16,31,16
143,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.4;-0.3,9,9,9
142,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.4;-0.3,3,3,3
